Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,000978627868514288","-0,0168783350390662","0,046949438172872",0,0,0,"5,94911461170348","0,146354541513565","-5,73599506869725E-06","-4,36985212909704E-07","0,0263987482751547","-6,93257295201472E-05","0,156525700557785",0,0,0,0,0,0,package://herald/meshes/base_link.STL,"0,698039215686274","0,698039215686274","0,698039215686274",1,0,0,0,0,0,0,package://herald/meshes/base_link.STL,,base-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Top_Link,"0,105466774862687","0,0370820185564252","0,231665834248384",0,0,0,"0,886298585253066","0,0133353983534309","-3,17846082940069E-20","-3,7463286810849E-05","0,0160345877991054","-1,34992462238338E-17","0,0027047956735155",0,0,0,0,0,0,package://herald/meshes/Top_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herald/meshes/Top_Link.STL,,top-1,Origin_Top,Axis_Top,Top,fixed,"-0,1067720614782","0,234418156178905","0,114168012730008","1,5707963267949",0,0,base_link,0,0,0,,,,,,,,,,,,
Triangle_1_Link,"-0,0224532310608155","-2,25254728530855E-05","-1,43990671057359E-06",0,0,0,"0,832590973914139","0,00400649050305285","-2,49871584302065E-10","2,97501490062033E-10","0,00204844624331817","-5,5794530297781E-08","0,00204855981218023",0,0,0,0,0,0,package://herald/meshes/Triangle_1_Link.STL,"0,698039215686274","0,698039215686274","0,698039215686274",1,0,0,0,0,0,0,package://herald/meshes/Triangle_1_Link.STL,,triengle-3,Origin_Triangle_1,Axis_Triangle_1,Triangle_1,fixed,"0,144228594913917","0,233524086401926","0,0030000000000463","-0,523598775598317",0,"3,14159265358979",base_link,0,0,0,,,,,,,,,,,,
Wheel_11_Link,"0,0452843621050643","5,05144975154748E-08","-0,0031665843938255",0,0,0,"0,928234057399506","0,00408370470903071","-3,08673646787042E-10","-0,000120232765707568","0,00236428458612573","2,36372531325111E-10","0,00237269614282624",0,0,0,0,0,0,package://herald/meshes/Wheel_11_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://herald/meshes/Wheel_11_Link.STL,,weel-23,Origin_Wheel_11,Axis_Wheel_11,Wheel_11,continuous,"-0,00920017582689844","-0,0505","0,0874685657822284","1,048252990733","-0,0348853122585332","3,08110812456411",Triangle_1_Link,"0,997564050259824",0,"-0,0697564737441241",,,,,,,,,,,,
Wheel_12_Link,"0,0452843621033281","5,05372140871541E-08","-0,00316658438110728",0,0,0,"0,928234057332528","0,00408370470840518","-3,09279316403055E-10","-0,000120232765983679","0,00236428458628127","2,35743541048552E-10","0,00237269614191475",0,0,0,0,0,0,package://herald/meshes/Wheel_12_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://herald/meshes/Wheel_12_Link.STL,,weel-20,Origin_Wheel_12,Axis_Wheel_12,Wheel_12,continuous,"-0,0092001758268993","0,101",0,"1,048252990733","-0,0348853122585375","3,08110812456411",Triangle_1_Link,"0,997564050259824",0,"-0,0697564737441326",,,,,,,,,,,,
Wheel_13_Link,"0,0452843482276672","-2,35298021067365E-08","-0,00316662303642934",0,0,0,"0,928234721103625","0,0040836997167735","5,33154639072831E-10","-0,000120232154725741","0,00236428181415886","1,77923080240359E-10","0,00237269329426952",0,0,0,0,0,0,package://herald/meshes/Wheel_13_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://herald/meshes/Wheel_13_Link.STL,,weel-22,Origin_Wheel_13,Axis_Wheel_13,Wheel_13,continuous,"-0,00920017582690119","-0,0504999999999999","-0,0874685657822283","2,22501935974898","0,0425278066857692","3,0862111219061",Triangle_1_Link,"0,997564050259824",0,"-0,0697564737441343",,,,,,,,,,,,
Triangle_2_Link,"-0,0224532310608155","-2,25254728549221E-05","-1,4399067097548E-06",0,0,0,"0,832590973914138","0,00400649050305284","-2,49872390514625E-10","2,9750196959097E-10","0,00204844624332658","-5,57945256948256E-08","0,00204855981217181",0,0,0,0,0,0,package://herald/meshes/Triangle_2_Link.STL,"0,698039215686274","0,698039215686274","0,698039215686274",1,0,0,0,0,0,0,package://herald/meshes/Triangle_2_Link.STL,,triengle-1,Origin_Triangle_2,Axis_Triangle_2,Triangle_2,fixed,"-0,145771405086078","0,233524086401872","0,00299999999958976","1,5707963267949",0,0,base_link,0,0,0,,,,,,,,,,,,
Wheel_21_Link,"-0,0502724332253032","-2,13792918091205E-08","0,00351535660819591",0,0,0,"0,928234720041403","0,00408369944328603","-5,86244418810645E-10","-0,000120234191751174","0,00236428515996103","1,6422312775692E-09","0,00237269021422261",0,0,0,0,0,0,package://herald/meshes/Wheel_21_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://herald/meshes/Wheel_21_Link.STL,,weel-17,Origin_Wheel_21,Axis_Wheel_21,Wheel_21,continuous,"-0,0091999151049047","0,101",0,0,"-0,069813170079782",0,Triangle_2_Link,"0,997564050259824",0,"-0,0697564737441336",,,,,,,,,,,,
Wheel_22_Link,"-0,0502724332305571","-2,13890174183273E-08","0,00351535660976665",0,0,0,"0,928234720134885","0,00408369944305971","-5,8632833418828E-10","-0,000120234191777132","0,00236428515971564","1,64228911471206E-09","0,00237269021436456",0,0,0,0,0,0,package://herald/meshes/Wheel_22_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://herald/meshes/Wheel_22_Link.STL,,weel-18,Origin_Wheel_22,Axis_Wheel_22,Wheel_22,continuous,"-0,00919991510490456","-0,0505","-0,0874685657822283",0,"-0,0698131700797792",0,Triangle_2_Link,"0,997564050259824",0,"-0,0697564737441313",,,,,,,,,,,,
Wheel_23_Link,"-0,0502724332267846","-2,13818018499068E-08","0,0035153566101134",0,0,0,"0,928234719971823","0,00408369944294933","-5,86216358221288E-10","-0,000120234191897746","0,00236428515997725","1,64266509778976E-09","0,0023726902139154",0,0,0,0,0,0,package://herald/meshes/Wheel_23_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://herald/meshes/Wheel_23_Link.STL,,weel-14,Origin_Wheel_23,Axis_Wheel_23,Wheel_23,continuous,"-0,0091999151049047","-0,0505","0,0874685657822284",0,"-0,069813170079782",0,Triangle_2_Link,"0,997564050259824",0,"-0,0697564737441341",,,,,,,,,,,,
